id|Product Name|Brand|Category|Rank|Price|Rating|Weight|Available From|Est. Revenue
0|Nier Automata 2B Ass Anime Japanese Manga Sexy Bishojo Poster for Home Wall Decor|Genshin896|Home & Kitchen|#379,017|$16.56|4.7|0.26|06/19/21|
1|JCAMZ Figure Kimetsu No Yaiba Kanroji Mitsuri Naked VER. PVC Action Figure Model Toy|JCAMZ|Toys & Games|#359,796|$39.99|4.6||01/21/22|
2|Flashlight Set of 5 Pack Mini, Aluminum Led Handheld Flashlight Fleshlight with Lanyard Streamlight Flashlight, Assorted Colors, for EDC, Party Favors, Night Reading, Camping, Power Outage, Emergency|Herolland|Tools & Home Improvement|#428,052|$11.99||0.3|07/13/22|
3|Lube Life Water-Based Personal Lubricant, Lube for Men, Women and Couples, Non-Staining, 8 Fl Oz|LubeLife|Sexual Lubricants|#1|$9.99|4.5|0.507|09/19/17|$311,823
4|Upgraded, Anker Soundcore Bluetooth Speaker with IPX5 Waterproof, Stereo Sound, 24H Playtime, Portable Wireless Speaker for iPhone, Samsung and More|Anker|Electronics|#22|$21.99|4.6|0.979|10/20/15|$510,216
5|NOTABRICK Bluetooth Speakers,Portable Wireless Speaker with 15W Stereo Sound, IPX6 Waterproof Shower Speaker, Dual Pairs, Portable Speaker for Party Beach Camping|NOTABRICK|Electronics|#83|$21.79|4.8|0.972|04/24/23|$339,280
6|JBL Clip 3, Black - Waterproof, Durable & Portable Bluetooth Speaker - Up to 10 Hours of Play - Includes Noise-Cancelling Speakerphone & Wireless Streaming|JBL|Electronics|#70|$49.95|4.7|0.71|06/29/19|$379,234
7|Bluetooth Speakers, Portable Speakers Bluetooth Wireless(100FT Range) with 30W Loud Stereo Sound, IPX7 Waterproof Shower Speakers, RGB Multi-Colors Rhythm Lights, 1000mins Playtime for Indoor&Outdoor|NOTABRICK|Electronics|#314|$37.99|4.8|1.464|04/09/23|$12,385
8|Anker Soundcore 2 Portable Bluetooth Speaker with 12W Stereo Sound, Bluetooth 5, Bassup, IPX7 Waterproof, 24-Hour Playtime, Wireless Stereo Pairing, Speaker for Home, Outdoors, Travel|Anker|Electronics|#192|$39.99|4.6|1.058|01/14/17|$198,171
9|JBL GO2 - Waterproof Ultra Portable Bluetooth Speaker - Red|JBL|Electronics|#310|$22.88|4.7|0.619|06/29/19|$49,148
10|MAWODE Bluetooth Speakers, T10 Waterproof Speaker, 8 Hr Playtime Portable Speaker, Small, Lightweight, Mini, Wireless, Shower Speaker, Aux & TF Card Support (Blue)|MAWODE|Electronics|#2,524|$14.99|4.3|0.529|05/31/21|$2,422
11|Bose SoundLink Revolve+ Portable and Long-Lasting Bluetooth 360 Speaker - Triple Black|Bose|Electronics|#15,396|$298.98|4.8|3.439|04/11/17|$17,284
12|Sony SRS-XB13 EXTRA BASS Wireless Bluetooth Portable Lightweight Compact Travel Speaker, IP67 Waterproof & Durable for Outdoor, 16 Hour Battery, USB Type-C, Removable Strap, & Speakerphone, Light Blue|Sony|Electronics|#3,277|$58.00|4.5|0.75|05/23/21|$40,004
13|Bose SoundLink Flex Bluetooth Portable Speaker, Wireless Waterproof Speaker for Outdoor Travel - Black|Bose|Electronics|#159|$149.00|4.8|1.739|10/13/21|$743,361
14|Ortizan Portable Bluetooth Speakers, IPX7 Waterproof Wireless Speaker with 24W Loud Stereo Sound, Outdoor Speaker with Bluetooth 5.3, Deep Bass, RGB Lights, Dual Pairing, 30H Playtime for Home, Party|Ortizan|Electronics|#187|$29.99|4.5|1.151|09/07/20|$162,564
